Gene	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20
TP53	35.621	171.744	144.878	56.585	172.675	118.256	80.887	54.977	130.236	68.997	12.318	20.562	19.478	25.364	22.463	44.721	34.785	22.515	15.587	44.448
EGFR	145.338	370.295	111.948	223.002	123.557	102.438	46.123	140.758	64.366	75.916	24.004	21.378	11.229	16.481	39.068	34.428	34.786	26.757	34.163	27.676
MYC	90.215	175.683	86.784	66.784	179.896	181.825	44.666	134.999	35.307	167.509	15.381	36.31	18.039	28.975	12.301	21.319	23.81	39.67	60.168	32.797
CDK4	7.117	3.668	3.017	6.745	6.564	8.312	8.725	7.346	2.945	9.583	23.275	15.216	19.938	12.19	20.655	35.709	20.826	15.946	21.561	30.891
MDM2	3.124	3.685	6.535	3.284	16.22	5.68	3.897	4.076	4.817	4.613	8.621	46.149	24.343	24.199	36.927	14.479	16.791	30.837	23.755	29.15
GENE006	94.278	86.974	200.949	167.2	28.132	205.708	288.778	181.668	88.158	69.526	35.301	18.002	29.314	24.266	45.106	20.192	19.66	29.64	64.516	25.546
GENE007	79.684	150.663	140.521	60.981	75.054	169.789	121.547	28.544	124.871	155.948	16.139	34.418	62.562	29.91	17.943	18.893	24.693	29.633	25.315	31.526
GENE008	91.179	107.405	158.967	57.621	103.612	103.459	155.497	87.613	136.022	170.313	9.729	44.006	14.989	14.197	5.814	16.419	24.473	20.254	19.467	14.066
GENE009	151.398	158.46	120.947	38.207	305.811	105.613	128.522	46.393	97.57	120.659	22.864	37.943	47.001	12.531	37.527	29.879	24.475	11.185	51.415	29.916
GENE010	40.232	86.897	115.573	126.417	92.065	116.407	283.082	212.632	61.04	72.809	23.206	10.231	12.545	10.904	13.82	49.146	15.997	14.68	38.146	19.596
GENE011	120.979	68.184	39.859	123.984	45.177	76.024	68.021	108.199	74.316	92.059	11.243	66.698	13.463	44.732	26.441	26.323	29.289	9.582	39.773	19.002
GENE012	179.737	90.983	81.372	51.454	66.923	121.201	51.026	36.27	63.913	149.351	59.778	17.484	11.309	20.665	26.895	32.751	71.33	27.479	56.133	19.463
GENE013	6.404	4.56	4.365	5.376	5.33	4.535	4.66	10.613	17.642	4.78	20.859	31.89	120.725	25.587	39.898	53.103	29.138	38.983	33.245	41.11
GENE014	3.656	6.793	7.801	7.746	10.829	7.669	3.46	8.243	3.944	4.323	19.901	23.203	11.338	42.882	13.767	53.788	13.979	46.57	24.186	10.4
GENE015	3.641	11.905	7.675	5.896	2.025	12.286	15.626	14.264	4.509	7.427	31.377	11.43	26.849	41.91	35.954	14.075	15.938	36.427	33.664	7.948
GENE016	1.796	5.903	4.567	5.283	4.993	10.031	6.459	7.011	3.135	1.141	43.025	71.636	20.67	27.789	28.854	56.693	38.263	31.438	25.224	25.283
GENE017	2.986	5.063	9.553	5.457	6.271	3.406	7.663	2.953	7.09	5.585	10.261	41.877	22.603	62.202	51.374	15.804	16.513	13.654	11.098	19.864
GENE018	12.624	2.354	9.39	9.006	8.093	8.849	3.531	8.975	4.66	1.793	25.247	16.086	48.396	21.26	25.098	29.802	21.462	23.291	37.404	14.394
GENE019	4.318	3.782	12.58	4.318	5.709	4.542	5.257	4.242	7.73	3.645	12.476	18.556	16.459	12.567	20.87	10.697	58.199	11.631	17.758	20.05
GENE020	14.24	2.582	6.585	10.301	5.253	3.417	5.811	13.161	4.508	12.576	27.92	45.434	27.367	19.256	55.669	27.457	26.661	36.737	38.942	36.834
GENE021	12.486	17.839	17.668	16.618	15.862	17.54	29.02	31.412	24.512	19.826	46.42	23.435	39.194	18.455	30.17	47.992	6.657	17.68	33.012	44.989
GENE022	27.155	25.148	54.888	46.386	15.89	26.003	29.373	57.934	37.827	23.294	27.386	9.564	39.818	33.881	44.974	22.828	26.154	19.285	13.818	18.154
GENE023	9.878	38.757	8.269	67.767	10.155	51.932	15.58	32.476	16.84	56.649	25.074	41.965	25.483	29.268	33.383	18.834	12.934	12.797	25.164	19.215
GENE024	8.39	31.705	13.34	13.733	24.027	15.642	26.082	65.807	20.297	14.443	26.863	16.65	24.826	28.726	24.105	25.236	27.006	54.519	21.618	26.147
GENE025	37.842	31.048	20.51	38.511	15.869	21.903	16.684	32.723	44.469	27.431	25.473	15.839	17.266	13.509	8.262	20.176	21.135	72.706	53.592	32.389
GENE026	69.563	49.178	8.991	41.835	35.013	21.228	12.09	33.039	8.675	24.271	18.02	13.073	44.452	24.031	26.762	38.626	24.425	30.744	36.889	32.57
GENE027	28.304	59.833	45.649	23.503	15.567	33.761	27.329	57.656	40.195	35.949	24.692	15.834	22.221	31.138	10.332	45.643	68.96	9.277	12.181	27.518
GENE028	18.333	27.951	23.669	14.704	46.721	30.946	18.544	52.066	19.026	13.185	26.89	29.27	32.007	34.75	31.755	31.117	18.414	17.455	35.559	27.708
GENE029	36.971	10.447	19.098	63.657	32.339	28.439	34.952	74.012	66.621	11.137	13.393	10.95	16.885	25.216	27.688	11.413	9.644	16.737	38.787	42.317
GENE030	57.565	24.139	37.117	40.648	19.136	29.783	34.102	15.571	55.76	24.061	25.624	15.277	16.615	8.18	25.219	85.871	14.742	108.646	49.756	19.36
GENE031	24.869	22.93	57.575	31.77	44.3	29.344	23.197	28.882	20.016	11.869	36.85	11.582	21.447	19.689	33.841	53.643	44.812	34.337	17.905	22.382
GENE032	20.809	19.392	20.061	19.795	19.362	39.486	14.479	17.035	11.115	49.786	16.473	34.137	31.114	47.438	22.087	15.275	11.27	6.096	26.594	36.152
GENE033	31.058	11.417	41.24	17.303	15.589	17.11	25.513	11.677	24.082	30.409	42.677	26.789	12.556	26.429	14.438	14.028	12.412	9.434	18.475	43.14
GENE034	75.811	18.416	42.227	20.14	10.747	34.83	27.589	60.886	11.389	99.287	54.373	24.314	21.13	17.152	25.916	22.377	31.718	21.175	49.773	26.115
GENE035	21.576	40.941	10.9	29.093	24.848	12.117	10.441	40.657	39.702	26.743	57.878	30.584	45.828	30.27	21.372	14.458	18.143	21.573	48.501	36.052
GENE036	28.938	37.902	31.935	27.965	11.596	43.362	19.506	42.278	44.372	17.549	39.443	20.481	20.542	27.903	28.282	25.01	12.589	23.087	76.649	6.098
GENE037	37.897	41.619	12.439	19.4	14.874	61.991	42.585	43.629	26.058	47.278	24.432	48.404	22.775	17.468	60.672	24.278	15.652	15.567	15.591	37.421
GENE038	23.349	77.399	44.393	27.898	49.499	19.149	9.705	14.957	26.406	21.949	37.048	23.051	35.66	51.961	23.015	32.381	10.202	23.059	13.25	26.38
GENE039	27.605	27.559	19.297	77.419	13.014	12.622	56.12	17.251	15.297	77.591	40.16	18.225	27.351	64.906	34.668	46.669	36.686	39.061	25.025	24.672
GENE040	28.037	35.418	21.292	26.076	21.006	25.993	13.125	90.287	17.005	20.476	16.287	33.377	22.242	15.151	34.071	36.446	23.726	17.605	73.371	29.08
GENE041	12.974	49.75	15.992	96.635	25.529	40.718	8.671	12.909	47.795	28.758	68.115	31.268	26.381	57.788	40.653	22.239	14.196	7.495	19.711	13.556
GENE042	89.914	17.722	17.482	11.466	21.474	17.597	58.491	26.689	24.424	22.935	36.346	19.567	34.247	54.981	30.878	21.653	15.23	21.38	32.51	11.401
